eccc,region_name,description
McGregor,McGregor,includes the northern end of the  Robson Valley extending from Hansard to Dome Creek; extends north to Monkman Park.
McGregor,,
Muncho Lake Park - Stone Mountain Park,Muncho Lake Park - Stone Mountain Park,"includes Muncho Lake, Toad River and Stone Mountain Provincial Park."
Muncho Lake Park - Stone Mountain Park,,
Nanaimo,Nanaimo,"includes Cedar, South Wellington, and Cassidy."
Nanaimo,,
Nicola,Nicola,"includes Merritt, Stump Lake, Pennask Lake, and Brookmere."
Nicola,,
North Coast - coastal sections,North Coast - Coastal Sections,includes Prince Rupert.
North Coast - coastal sections,,
North Coast - inland including Kitimat,North Coast - Inland Sections,includes Kitimat.
North Coast - inland including Kitimat,,
North Coast - inland including Stewart,North Coast Inland (North),includes Stewart.
North Coast - inland including Stewart,,
North Coast - inland including Terrace,North Coast Inland (South),includes Terrace.
North Coast - inland including Terrace,,
North Columbia,North Columbia,includes Blue River and  McMurphy.
North Columbia,,
North Harrison Lake,North Harrison Lake,extends north from mid Harrison Lake to Tipella.
North Harrison Lake,,
North Okanagan,North Okanagan,"includes Vernon, Armstrong, Enderby, Lavington and Lumby."
North Okanagan,,
North Thompson,North Thompson,"includes Barriere, Clearwater and Vavenby."
North Thompson,,
North Vancouver Island,North Vancouver Island,"includes Port Hardy, Port McNeill, Port Alice, Bull Harbour, Alert Bay, Sayward, and Woss."
North Vancouver Island,,
Prince George,Prince George,"includes the City of Prince George, Hwy 16 Bednesti to Upper Fraser, and Hwy 97 Hixon to the south end of McLeod Lake."
Prince George,,
Shuswap,Shuswap,"includes Salmon Arm, Sicamous, and Chase."
Shuswap,,
Similkameen,Similkameen,"includes Princeton, Allenby, Copper Mountain, Jura, and Hedley."
Similkameen,,
South Okanagan,South Okanagan ,"includes Penticton, Summerland, Naramata, Keremeos, Oliver and Osoyoos."
South Okanagan,,
South Thompson,South Thompson,"Includes Kamloops, Rayleigh, Monte Creek, Cache Creek, Spences Bridge and Logan Lake."
South Thompson,,
Southern Gulf Islands,Southern Gulf Islands,includes Southern Gulf Islands.
Southern Gulf Islands,,
Stuart - Nechako,Stuart - Nechako,"includes Fraser Lake, Fort Fraser, Vanderhoof, Fort St James, and Tachie."
Stuart - Nechako,,
Sunshine Coast - Gibsons to Earls Cove,Sunshine Coast (south),"includes Sechelt, Gibsons, Earls Cove, and Nelson Island."
Sunshine Coast - Gibsons to Earls Cove,,
Sunshine Coast - Saltery Bay to Powell River,Sunshine Coast (north),"includes, Powell River, Quadra Island to Texada Island."
Sunshine Coast - Saltery Bay to Powell River,,
Teslin,Teslin,
Teslin,,
Watson Lake,Watson Lake,"includes Liard River, Lower Post and extends north to the Yukon border."
Watson Lake,,
West Columbia,West Columbia,includes Revelstoke.
West Columbia,,
West Kootenay,West Kootenay,"includes Nelson, Castlegar, Trail, Rossland."
West Kootenay,,
West Vancouver Island,West Vancouver Island,"includes Tofino, Uclulet, Port Renfrew, Sooke."
West Vancouver Island,,
Whistler,Whistler,includes Whistler and Pemberton.
Whistler,,
Williston,Williston,"includes McLeod Lake, Mackenzie and Williston Lake."
Williston,,
Yellowhead,Yellowhead,includes McBride and Valemount and all communities within the southern half of the Robson Valley extending from Urling to Valemount and the northern half of Mount Robson Park.
Yellowhead,,
Yoho Park - Kootenay Park,Yoho - Kootenay Park,includes Yoho and Kootenay National Parks.
Yoho Park - Kootenay Park,,
